Name,Category,Film,Win_Oscar?,Year_Ceremony,Gender,Race or Ethnicity,Sexual orientation,Religion,Age
Tom Hanks,ACTOR,Big,False,1989,Male,White,Straight,Born-Again Christian,30
Dustin Hoffman,ACTOR,Rain Man,True,1989,Male,White,Straight,Jewish,50
Edward James Olmos,ACTOR,Stand and Deliver,False,1989,Male,Hispanic,Straight,Na,40
Max von Sydow,ACTOR,Pelle the Conqueror,False,1989,Male,White,Straight,Na,50
Alec Guinness,ACTOR IN A SUPPORTING ROLE,Little Dorrit,False,1989,Male,White,Bisexual,Roman Catholic,70
Kevin Kline,ACTOR IN A SUPPORTING ROLE,A Fish Called Wanda,True,1989,Male,White,Straight,Roman Catholic,40
Martin Landau,ACTOR IN A SUPPORTING ROLE,Tucker The Man and His Dream,False,1989,Male,White,Straight,Jewish,50
River Phoenix,ACTOR IN A SUPPORTING ROLE,Running on Empty,False,1989,Male,White,Straight,Cult,10
Dean Stockwell,ACTOR IN A SUPPORTING ROLE,Married to the Mob,False,1989,Male,White,Straight,Na,50
Glenn Close,ACTRESS,Dangerous Liaisons,False,1989,Female,White,Straight,Na,40
Jodie Foster,ACTRESS,The Accused,True,1989,Female,White,Lesbian,Atheist,20
Melanie Griffith,ACTRESS,Working Girl,False,1989,Female,White,Straight,Na,30
Meryl Streep,ACTRESS,A Cry in the Dark,False,1989,Female,White,Straight,Na,30
Sigourney Weaver,ACTRESS,Gorillas in the Mist,False,1989,Female,White,Straight,Na,30
Joan Cusack,ACTRESS IN A SUPPORTING ROLE,Working Girl,False,1989,Female,White,Straight,Na,20
Geena Davis,ACTRESS IN A SUPPORTING ROLE,The Accidental Tourist,True,1989,Female,White,Straight,Congregationalist,30
Frances McDormand,ACTRESS IN A SUPPORTING ROLE,Mississippi Burning,False,1989,Female,White,Straight,Disciples of Christ,30
Michelle Pfeiffer,ACTRESS IN A SUPPORTING ROLE,Dangerous Liaisons,False,1989,Female,White,Straight,Na,30
Sigourney Weaver,ACTRESS IN A SUPPORTING ROLE,Working Girl,False,1989,Female,White,Straight,Na,30
Charles Crichton,DIRECTING,A Fish Called Wanda,False,1989,Male,White,Straight,Na,70
Martin Scorsese,DIRECTING,The Last Temptation of Christ,False,1989,Male,White,Straight,Roman Catholic,40
Alan Parker,DIRECTING,Mississippi Burning,False,1989,Male,White,Straight,Na,40
Barry Levinson,DIRECTING,Rain Man,True,1989,Male,White,Straight,Jewish,40
Mike Nichols,DIRECTING,Working Girl,False,1989,Male,White,Straight,Jewish,50
Kenneth Branagh,ACTOR,Henry V,False,1990,Male,White,Straight,Protestant,20
Tom Cruise,ACTOR,Born on the Fourth of July,False,1990,Male,White,Matter of Dispute,Scientology,20
Daniel Day-Lewis,ACTOR,My Left Foot,True,1990,Male,White,Straight,Na,30
Morgan Freeman,ACTOR,Driving Miss Daisy,False,1990,Male,Black,Straight,Na,50
Robin Williams,ACTOR,Dead Poets Society,False,1990,Male,White,Straight,Anglican/Episcopalian,30
Danny Aiello,ACTOR IN A SUPPORTING ROLE,Do the Right Thing,False,1990,Male,White,Straight,Roman Catholic,50
Dan Aykroyd,ACTOR IN A SUPPORTING ROLE,Driving Miss Daisy,False,1990,Male,White,Straight,Roman Catholic,30
Marlon Brando,ACTOR IN A SUPPORTING ROLE,A Dry White Season,False,1990,Male,White,Bisexual,Deist,60
Martin Landau,ACTOR IN A SUPPORTING ROLE,Crimes and Misdemeanors,False,1990,Male,White,Straight,Jewish,50
Denzel Washington,ACTOR IN A SUPPORTING ROLE,Glory,True,1990,Male,Black,Straight,Protestant,30
Isabelle Adjani,ACTRESS,Camille Claudel,False,1990,Female,Multiracial,Straight,Na,30
Pauline Collins,ACTRESS,Shirley Valentine,False,1990,Female,White,Straight,Roman Catholic,40
Jessica Lange,ACTRESS,Music Box,False,1990,Female,White,Straight,Na,40
Michelle Pfeiffer,ACTRESS,The Fabulous Baker Boys,False,1990,Female,White,Straight,Na,30
Jessica Tandy,ACTRESS,Driving Miss Daisy,True,1990,Female,White,Straight,Na,80
Brenda Fricker,ACTRESS IN A SUPPORTING ROLE,My Left Foot,True,1990,Female,White,Straight,Na,40
Anjelica Huston,ACTRESS IN A SUPPORTING ROLE,"Enemies, A Love Story",False,1990,Female,White,Straight,Na,30
Lena Olin,ACTRESS IN A SUPPORTING ROLE,"Enemies, A Love Story",False,1990,Female,White,Straight,Na,30
Julia Roberts,ACTRESS IN A SUPPORTING ROLE,Steel Magnolias,False,1990,Female,White,Straight,Hindu,20
Dianne Wiest,ACTRESS IN A SUPPORTING ROLE,Parenthood,False,1990,Female,White,Straight,Na,40
Oliver Stone,DIRECTING,Born on the Fourth of July,True,1990,Male,White,Straight,Atheist,40
Woody Allen,DIRECTING,Crimes and Misdemeanors,False,1990,Male,White,Straight,Agnostic,50
Peter Weir,DIRECTING,Dead Poets Society,False,1990,Male,White,Straight,Na,40
Kenneth Branagh,DIRECTING,Henry V,False,1990,Male,White,Straight,Protestant,20
Jim Sheridan,DIRECTING,My Left Foot,False,1990,Male,White,Na,Na,40
Kevin Costner,ACTOR,Dances With Wolves,False,1991,Male,White,Straight,Baptist,30
Robert De Niro,ACTOR,Awakenings,False,1991,Male,White,Straight,Roman Catholic,40
Gerard Depardieu,ACTOR,Cyrano de Bergerac,False,1991,Male,White,Straight,Na,40
Richard Harris,ACTOR,The Field,False,1991,Male,White,Straight,Na,60
Jeremy Irons,ACTOR,Reversal of Fortune,True,1991,Male,White,Straight,Na,40
Bruce Davison,ACTOR IN A SUPPORTING ROLE,Longtime Companion,False,1991,Male,White,Straight,Na,40
Andy Garcia,ACTOR IN A SUPPORTING ROLE,"The Godfather, Part III",False,1991,Male,Hispanic,Straight,Na,30
Graham Greene,ACTOR IN A SUPPORTING ROLE,Dances With Wolves,False,1991,Male,American Aborigine,Straight,Na,30
Al Pacino,ACTOR IN A SUPPORTING ROLE,Dick Tracy,False,1991,Male,White,Straight,Roman Catholic,50
Joe Pesci,ACTOR IN A SUPPORTING ROLE,Good Fellas,True,1991,Male,White,Straight,Na,40
Kathy Bates,ACTRESS,Misery,True,1991,Female,White,Straight,Na,40
Anjelica Huston,ACTRESS,The Grifters,False,1991,Female,White,Straight,Na,30
Julia Roberts,ACTRESS,Pretty Woman,False,1991,Female,White,Straight,Hindu,20
Meryl Streep,ACTRESS,Postcards from the Edge,False,1991,Female,White,Straight,Na,40
Joanne Woodward,ACTRESS,Mr. & Mrs. Bridge,False,1991,Female,White,Straight,Na,60
Annette Bening,ACTRESS IN A SUPPORTING ROLE,The Grifters,False,1991,Female,White,Straight,Na,30
Lorraine Bracco,ACTRESS IN A SUPPORTING ROLE,Good Fellas,False,1991,Female,White,Straight,Na,30
Whoopi Goldberg,ACTRESS IN A SUPPORTING ROLE,Ghost,True,1991,Female,Black,Straight,Atheist,30
Diane Ladd,ACTRESS IN A SUPPORTING ROLE,Wild at Heart,False,1991,Female,White,Straight,Roman Catholic,40
Mary McDonnell,ACTRESS IN A SUPPORTING ROLE,Dances With Wolves,False,1991,Female,White,Straight,Na,30
Kevin Costner,DIRECTING,Dances With Wolves,True,1991,Male,White,Straight,Baptist,30
Francis Ford Coppola,DIRECTING,"The Godfather, Part III",False,1991,Male,White,Straight,Na,50
Martin Scorsese,DIRECTING,Good Fellas,False,1991,Male,White,Straight,Roman Catholic,40
Stephen Frears,DIRECTING,The Grifters,False,1991,Male,White,Straight,Na,40
Barbet Schroeder,DIRECTING,Reversal of Fortune,False,1991,Male,White,Straight,Na,40
Warren Beatty,ACTOR,Bugsy,False,1992,Male,White,Straight,Baptist,50
Robert De Niro,ACTOR,Cape Fear,False,1992,Male,White,Straight,Roman Catholic,40
Anthony Hopkins,ACTOR,The Silence of the Lambs,True,1992,Male,White,Straight,Na,50
Nick Nolte,ACTOR,The Prince of Tides,False,1992,Male,White,Straight,Roman Catholic,50
Robin Williams,ACTOR,The Fisher King,False,1992,Male,White,Straight,Anglican/Episcopalian,40
Tommy Lee Jones,ACTOR IN A SUPPORTING ROLE,JFK,False,1992,Male,White,Straight,Na,40
Harvey Keitel,ACTOR IN A SUPPORTING ROLE,Bugsy,False,1992,Male,White,Straight,Jewish,50
Ben Kingsley,ACTOR IN A SUPPORTING ROLE,Bugsy,False,1992,Male,Multiracial,Straight,Quaker,40
Michael Lerner,ACTOR IN A SUPPORTING ROLE,Barton Fink,False,1992,Male,White,Na,Jewish,50
Jack Palance,ACTOR IN A SUPPORTING ROLE,City Slickers,True,1992,Male,White,Straight,Na,70
Geena Davis,ACTRESS,Thelma & Louise,False,1992,Female,White,Straight,Congregationalist,30
Laura Dern,ACTRESS,Rambling Rose,False,1992,Female,White,Straight,Na,20
Jodie Foster,ACTRESS,The Silence of the Lambs,True,1992,Female,White,Lesbian,Atheist,20
